country,Code,year,gdp_change_%,literacy_rate_%,literacy_change_%
El Salvador,SLV,2007,1.846,82.02863,-1.8320247641619436
El Salvador,SLV,2008,2.096,83.9513,2.343901147684657
El Salvador,SLV,2009,-2.053,84.10289,0.1805689727258475
El Salvador,SLV,2010,2.096,84.49272,0.4635155819258996
El Salvador,SLV,2011,3.801,85.49399,1.185037006738554
El Salvador,SLV,2013,2.235,86.76758,1.489683660804686
El Salvador,SLV,2015,2.4,87.96985,1.3856212193540385
El Salvador,SLV,2016,2.515,88.14177,0.19543059354993897
El Salvador,SLV,2017,2.262,88.48271,0.3868086606384269
El Salvador,SLV,2018,2.422,89.0086,0.5943421036720187
El Salvador,SLV,2019,2.456,89.13792,0.14528933159267954
El Salvador,SLV,2020,-7.878,89.98453,0.9497753593532554
Equatorial Guinea,GNQ,2000,110.505,88.3083,
Equatorial Guinea,GNQ,2010,-8.924,94.37054,6.8648586825927005
Eritrea,ERI,2002,3.005,52.51395,
Eritrea,ERI,2008,-19.436,64.66297,23.13484321784973
Eritrea,ERI,2018,13.032,76.57052,18.414789793911424
Estonia,EST,2000,10.088,99.7672,0.040871808920495134
Estonia,EST,2011,7.263,99.88579,0.11886672172818358
Estonia,EST,2021,7.249,99.87,-0.01580805437889632
Eswatini,SWZ,1986,18.584,67.23938,
Eswatini,SWZ,2000,1.76,81.6607,21.447728994526738
Eswatini,SWZ,2010,3.794,83.09829,1.7604429058286408
Eswatini,SWZ,2018,2.369,88.41938,6.403368829851974
Eswatini,SWZ,2020,-1.56,89.28,0.973338650418043
Ethiopia,ETH,1994,3.486,27.01135,
Ethiopia,ETH,2004,11.7,35.9,32.907092759154935
Ethiopia,ETH,2005,12.6,29.82034,-16.934986072423385
Ethiopia,ETH,2007,11.8,38.99598,30.76973636115483
Ethiopia,ETH,2017,10.21,51.77118,32.76029990783664
Gabon,GAB,1993,3.947,72.23367,
Gabon,GAB,2012,5.251,82.2838,13.913359240919076
Gabon,GAB,2018,0.909,84.66716,2.896511828573778
Gabon,GAB,2021,1.468,85.46,0.9364197405463903
Gambia,GMB,2000,5.525,36.81773,
Gambia,GMB,2013,2.873,41.95005,13.939805631688863
Gambia,GMB,2015,4.058,50.77797,21.0438843338685
Gambia,GMB,2021,5.256,58.06,14.340923829763174
Georgia,GEO,2002,5.474,99.65235,
Georgia,GEO,2014,4.441,99.58619,-0.06639080764276883
