country,year,gdp_change_%,lu,lp,lp_%,lpc,lpc_%,ls,lsc,lsc_%,lh,lhc,lhc_%,yr_sch,yr_sch_%,yr_sch_pri,yr_sch_pri_%,yr_sch_sec,yr_sch_sec_%,yr_sch_ter,yr_sch_ter_%,pop,pop_%
Benin,2005,18.859,64.3,18.4,8.23529411764705,10.8,13.684210526315788,14.8,11.9,27.956989247311824,2.4,1.6,0.0,3.11,12.274368231046928,1.91,11.046511627906973,1.12,15.463917525773208,0.08,0.0,2748,19.322622666087707
Benin,2010,23.438,62.4,17.3,-5.978260869565211,10.4,-3.703703703703709,17.0,14.8,24.369747899159666,3.3,2.1,31.25,3.51,12.86173633440515,2.05,7.329842931937169,1.35,20.535714285714278,0.11,37.5,3321,20.851528384279483
Bolivia,1980,-7.271999999999999,37.4,31.4,2.950819672131133,7.3,2.8169014084507005,24.2,10.5,39.99999999999999,7.0,4.0,25.0,4.71,21.0796915167095,3.03,16.988416988416976,1.46,30.35714285714284,0.22,29.411764705882337,1855,13.386308068459662
Bolivia,1985,4.913,29.4,31.6,0.6369426751592355,7.5,2.7397260273972712,29.9,14.4,37.142857142857146,9.1,5.1,27.499999999999993,5.67,20.382165605095537,3.51,15.841584158415834,1.88,28.767123287671236,0.28,27.272727272727295,2101,13.261455525606468
Bolivia,1990,20.486,22.4,30.7,-2.848101265822789,7.4,-1.3333333333333308,35.5,18.3,27.083333333333325,11.5,6.3,23.529411764705888,6.73,18.69488536155204,4.29,22.222222222222232,2.09,11.170212765957444,0.36,28.57142857142856,2375,13.041408852927173
Bolivia,1995,19.448999999999998,17.2,34.8,13.355048859934836,10.7,44.59459459459458,35.3,22.9,25.136612021857907,12.8,7.0,11.111111111111116,7.38,9.65824665676076,4.88,13.752913752913742,2.1,0.4784688995215447,0.4,11.111111111111116,2684,13.010526315789473
Bolivia,2000,13.562,12.3,38.4,10.344827586206895,13.6,27.10280373831777,33.7,26.0,13.53711790393013,15.3,8.3,18.571428571428573,8.0,8.40108401084012,5.4,10.655737704918034,2.12,0.952380952380949,0.47,17.499999999999982,3075,14.567809239940388
Bolivia,2005,23.287,11.2,38.5,0.26041666666667407,7.5,-44.85294117647059,31.8,22.9,-11.923076923076925,18.5,10.0,20.48192771084336,8.08,1.0000000000000009,5.46,1.1111111111111072,2.05,-3.301886792452846,0.57,21.276595744680836,3488,13.430894308943087
Bolivia,2010,26.71,10.5,39.0,1.298701298701288,5.0,-33.333333333333336,26.0,16.9,-26.20087336244542,24.5,13.2,31.999999999999986,8.26,2.2277227722772297,5.55,1.6483516483516425,1.96,-4.390243902439018,0.75,31.578947368421062,3958,13.47477064220184
Brazil,1980,7.292999999999999,30.0,57.3,0.0,5.2,20.93023255813955,7.4,3.2,39.13043478260872,5.3,3.9,14.705882352941169,2.99,7.942238267148016,1.99,-0.995024875621886,0.81,32.78688524590165,0.19,26.666666666666682,44766,16.76665449423549
Brazil,1985,22.509999999999998,26.3,56.9,-0.698080279232105,20.4,292.30769230769226,11.0,5.0,56.25,5.8,4.2,7.692307692307709,3.64,21.739130434782595,2.4,20.603015075376874,1.04,28.395061728395056,0.2,5.263157894736836,52379,17.006210070142515
Brazil,1990,6.395,25.1,53.1,-6.678383128295251,26.4,29.41176470588236,15.5,7.5,50.0,6.3,4.5,7.14285714285714,4.11,12.91208791208791,2.58,7.500000000000018,1.32,26.923076923076916,0.21,4.999999999999982,61226,16.89035682239066
Brazil,1995,10.827,21.2,51.0,-3.9548022598870136,29.3,10.984848484848486,20.9,10.6,41.333333333333336,7.0,5.0,11.111111111111116,5.07,23.357664233576635,3.38,31.007751937984484,1.44,9.090909090909083,0.24,14.28571428571428,69600,13.677195962499589
Brazil,2000,15.732,16.9,47.4,-7.058823529411773,29.6,1.0238907849829282,27.9,15.4,45.28301886792454,7.8,5.5,10.000000000000009,6.04,19.132149901380657,4.15,22.781065088757412,1.63,13.194444444444443,0.27,12.500000000000021,78276,12.46551724137932
Brazil,2005,18.202,12.1,41.1,-13.291139240506322,27.1,-8.445945945945944,37.8,23.6,53.24675324675325,8.7,6.1,10.909090909090914,7.16,18.5430463576159,4.96,19.518072289156606,1.91,17.17791411042946,0.3,11.111111111111093,87717,12.061168174152993
Brazil,2010,16.932,9.2,35.9,-12.652068126520689,24.6,-9.225092250922506,42.8,27.1,14.830508474576277,12.1,8.5,39.34426229508197,8.07,12.709497206703912,5.63,13.508064516129025,2.02,5.759162303664933,0.41,36.66666666666667,98118,11.857450665207425
Bulgaria,1980,22.8,3.0,50.4,-13.993174061433455,36.0,-7.216494845360821,33.6,18.2,36.842105263157876,13.0,9.0,28.57142857142858,7.73,15.029761904761907,4.15,20.639534883720945,3.14,6.802721088435382,0.44,29.411764705882337,4596,1.5017667844523075
Bulgaria,1985,13.7,2.2,42.5,-15.674603174603174,31.8,-11.66666666666667,39.6,23.5,29.120879120879128,15.7,10.8,20.000000000000018,8.56,10.73738680465719,4.73,13.975903614457842,3.3,5.095541401273884,0.53,20.45454545454546,4829,5.06962576153176
Bulgaria,1990,-43.571,2.7,37.4,-12.0,30.4,-4.402515723270451,42.4,27.3,16.170212765957448,17.4,11.9,10.185185185185187,9.0,5.1401869158878455,5.28,11.627906976744185,3.14,-4.848484848484835,0.58,9.433962264150942,4578,-5.197763512114307
Bulgaria,1995,-15.118000000000002,1.7,33.6,-10.160427807486627,27.8,-8.552631578947366,46.7,32.0,17.216117216117222,18.0,12.2,2.5210084033613356,9.45,4.999999999999982,5.83,10.416666666666652,3.02,-3.821656050955413,0.6,3.4482758620689724,4371,-4.521625163827004
Bulgaria,2000,26.03,1.0,29.2,-13.095238095238104,24.9,-10.431654676259006,48.9,34.9,9.062499999999996,20.9,14.2,16.393442622950815,9.84,4.1269841269841345,5.89,1.0291595197255532,3.24,7.284768211920545,0.7,16.666666666666675,4286,-1.9446350949439473
Bulgaria,2005,23.296,1.3,15.6,-46.57534246575342,13.3,-46.586345381526094,61.1,44.6,27.793696275071646,22.1,15.0,5.633802816901423,10.61,7.825203252032509,6.4,8.658743633276744,3.46,6.790123456790109,0.74,5.714285714285716,4304,0.41997200186654204
Bulgaria,2010,4.805,1.8,3.1,-80.12820512820514,2.7,-79.69924812030075,68.8,51.6,15.695067264573993,26.3,17.9,19.333333333333314,11.31,6.597549481621123,6.86,7.187499999999991,3.56,2.8901734104046284,0.88,18.918918918918926,4286,-0.4182156133828996
Cambodia,1985,12.943,46.9,44.9,17.23237597911227,13.4,11.66666666666667,7.9,1.6,14.285714285714302,0.3,0.2,0.0,2.64,15.789473684210531,2.24,15.463917525773208,0.39,18.181818181818187,0.01,0.0,2730,16.517285531370042
Cambodia,1990,28.002,43.0,48.1,7.126948775055686,13.7,2.238805970149249,8.5,1.8,12.5,0.3,0.2,0.0,2.82,6.818181818181812,2.39,6.696428571428559,0.42,7.692307692307687,0.01,0.0,3333,22.0879120879121
Cambodia,1995,33.271,38.8,51.1,6.237006237006226,15.8,15.328467153284686,9.7,2.4,33.33333333333333,0.4,0.3,49.99999999999998,3.12,10.63829787234043,2.61,9.205020920502083,0.49,16.666666666666675,0.01,0.0,4025,20.762076207620762
Cambodia,2000,43.562,34.4,54.3,6.262230919765166,17.8,12.658227848101266,10.7,2.9,20.833333333333325,0.5,0.3,0.0,3.41,9.294871794871806,2.84,8.812260536398476,0.55,12.244897959183687,0.02,100.0,4656,15.677018633540364
Cambodia,2005,41.013,30.6,56.7,4.419889502762442,19.3,8.426966292134841,11.8,3.4,17.24137931034482,1.0,0.7,133.33333333333334,3.72,9.090909090909083,3.04,7.042253521126773,0.64,16.36363636363636,0.03,50.0,4968,6.70103092783505
Cambodia,2010,34.846000000000004,24.9,58.2,2.645502645502651,21.3,10.362694300518127,14.5,4.7,38.23529411764708,2.3,1.5,114.28571428571428,4.36,17.204301075268823,3.4,11.842105263157897,0.89,39.0625,0.08,166.66666666666669,6091,22.604669887278583
Cameroon,1980,48.82599999999999,60.5,31.5,22.568093385214016,14.3,32.4074074074074,7.7,3.7,68.18181818181816,0.3,0.2,0.0,2.31,35.88235294117648,1.86,31.91489361702129,0.44,57.14285714285714,0.01,0.0,2990,11.985018726591768
Cameroon,1985,3.109999999999999,50.1,38.4,21.904761904761894,18.7,30.76923076923075,11.2,5.5,48.64864864864864,0.4,0.3,49.99999999999998,3.06,32.467532467532465,2.4,29.032258064516125,0.64,45.45454545454546,0.01,0.0,3334,11.505016722408023
Cameroon,1990,-18.628,41.0,43.6,13.541666666666675,22.4,19.78609625668448,14.9,7.7,40.000000000000014,0.6,0.4,33.33333333333335,3.79,23.8562091503268,2.91,21.250000000000014,0.87,35.9375,0.02,100.0,3800,13.977204559088175
Cameroon,1995,22.487000000000002,32.1,48.4,11.009174311926607,26.0,16.07142857142858,18.5,9.9,28.57142857142858,1.0,0.6,49.99999999999998,4.54,19.78891820580475,3.4,16.838487972508574,1.11,27.586206896551737,0.03,50.0,4337,14.131578947368428
Cameroon,2000,23.121000000000002,23.9,52.5,8.4710743801653,29.3,12.692307692307692,22.2,12.2,23.232323232323225,1.4,0.9,50.0,5.27,16.079295154185004,3.87,13.823529411764701,1.35,21.62162162162162,0.05,66.66666666666667,4899,12.958266082545533
Cameroon,2005,14.318999999999999,16.8,55.7,6.095238095238109,32.4,10.580204778156999,25.6,14.6,19.672131147540984,1.9,1.2,33.33333333333333,5.95,12.903225806451623,4.29,10.852713178294572,1.59,17.777777777777782,0.06,19.999999999999996,5491,12.084098795672581
Cameroon,2010,21.692999999999998,13.1,56.6,1.6157989228007263,34.1,5.246913580246915,27.7,16.3,11.64383561643836,2.7,1.7,41.66666666666667,6.41,7.731092436974785,4.54,5.827505827505819,1.78,11.949685534591193,0.09,50.0,6231,13.476598069568379
Canada,1980,10.988,1.3,19.6,-25.757575757575747,7.9,-26.16822429906541,51.1,21.0,5.000000000000004,28.0,17.9,26.056338028169,10.34,7.039337474120089,5.57,2.0146520146520297,3.84,10.982658959537561,0.92,24.32432432432432,11794,11.379733685900462
Canada,1985,17.682000000000002,0.8,15.4,-21.42857142857143,6.1,-22.78481012658229,62.4,26.6,26.666666666666682,21.4,10.5,-41.340782122905026,10.26,-0.7736943907156735,5.67,1.7953321364452268,3.95,2.864583333333348,0.64,-30.434782608695656,13173,11.69238595896218
Canada,1990,6.134,0.6,11.0,-28.57142857142857,4.3,-29.508196721311474,64.6,29.8,12.030075187969924,23.7,12.5,19.047619047619047,10.74,4.678362573099415,5.76,1.5873015873015817,4.26,7.848101265822782,0.72,12.5,14785,12.23715174979123
Canada,1995,17.652,0.7,8.4,-23.636363636363633,3.2,-25.581395348837198,64.1,32.2,8.053691275167797,26.8,14.8,18.400000000000016,11.13,3.6312849162011274,5.81,0.868055555555558,4.5,5.633802816901423,0.83,15.277777777777768,15831,7.07473791004396
Canada,2000,14.875,0.6,6.0,-28.57142857142857,2.3,-28.12500000000001,63.1,33.6,4.347826086956519,30.3,17.7,19.594594594594582,11.53,3.5938903863432126,5.85,0.6884681583476882,4.72,4.888888888888876,0.96,15.662650602409634,16833,6.329353799507298
Canada,2005,5.9879999999999995,0.4,3.5,-41.666666666666664,1.4,-39.13043478260869,47.6,33.6,0.0,48.5,28.4,60.45197740112995,12.8,11.014744145706867,5.92,1.1965811965811923,5.35,13.347457627118642,1.54,60.41666666666667,18009,6.986276955979331
Canada,2010,13.196,0.3,2.3,-34.285714285714285,1.0,-28.57142857142857,45.1,33.3,-0.8928571428571508,52.2,30.8,8.450704225352123,13.08,2.1874999999999867,5.94,0.33783783783785104,5.48,2.4299065420560817,1.66,7.792207792207795,19006,5.5361208284746555
Chile,1980,3.653000000000001,8.2,55.9,-3.119584055459279,25.5,4.938271604938271,28.2,15.6,9.859154929577475,7.8,3.5,9.375,6.6,7.491856677524433,4.6,4.308390022675734,1.78,14.102564102564097,0.22,29.411764705882337,4420,13.043478260869556
Chile,1985,32.038,6.2,49.1,-12.164579606440062,24.3,-4.70588235294117,34.8,20.9,33.974358974358964,10.0,5.5,57.14285714285714,7.46,13.030303030303036,4.89,6.304347826086953,2.27,27.52808988764044,0.31,40.90909090909092,5126,15.972850678733042
Chile,1990,34.261,4.7,42.8,-12.83095723014257,23.2,-4.526748971193417,40.2,27.6,32.05741626794261,12.3,7.6,38.18181818181819,8.3,11.260053619302957,5.13,4.907975460122693,2.77,22.026431718061666,0.4,29.03225806451615,5962,16.309012875536478
Chile,1995,25.217,4.3,38.4,-10.280373831775702,17.2,-25.86206896551724,41.0,28.1,1.8115942028985588,16.4,8.5,11.842105263157897,8.63,3.975903614457832,5.11,-0.3898635477582735,3.03,9.386281588447654,0.5,25.0,6772,13.5860449513586
